data,generalisation
"the status of my day off request, please",id
do you know if my vacation request has been approved,id
has my vacation request been approved,id
what is the status of my vacation request,id
any news for me regarding my day off request,id
i want to know the status of my day off request,id
tell me the status of my vacation request,id
tell me the status of my day off request,id
could you tell me the status of my vacation request,id
i requested some vacation time; has it been approved,id
can you share the status of my day off request,id
was my day off request approved,id
status of my request for vacation,id
what's my day off request's status,id
has my day off request been approved or denied yet,id
has my vacation request been denied or approved yet,id
has my request for the day off been approved yet,id
how is the approval of my day off progressing,id
how is the approval of my day off going,id
whats going on with my day off request,id
any status update on my day off request,id
did you hear back about my day off request,id
is my day off request still pending,id
has anyone looked over my request for a day off,id
has anyone approved my day off request,id
how's my day off request looking,id
has my day off request been looked at yet,id
i need you to let me know what the status of my day off request is,id
please let me know what the status of my day off request is,id
could you tell me what the status of my day off request is,id
would you tell me what the status of my day of request is,id
i need to know the status of my day off request,id
has my vacation request been approved yet,id
has my vacation been approved yet,id
has my time off request been approved yet,id
check on the status of my vacation request please,id
please check to see if my vacation request has been updated,id
please find out the status of my vacation request,id
do you know if my vacation was approved yet or not,id
please tell me if my vacation has been approved or not,id
can you look into the status of my vacation request,id
i want to know what the latest is on my vacation request i submitted,id
i need to know if my vacation was approved,id
please check to see if my vacation has been approved,id
do you know if my vacation request is still pending,id
can you find out if my vacation time off request has been approved or not,id
i sent in a request for vacation time off and am wondering if its been approved yet,id
"i haven't heard if my request for time off for vacation has been approved , can you get an update for me",id
how do i look up my credit score,id
please look up my credit score,id
can you figure out how to find my credit score,id
are you able to lookup my credit rating,id
how can i find my credit rating,id
where can i check my credit rating,id
say my credit score,id
give me my credit score,id
i want my credit score,id
inform me of my credit score,id
clue me in on my credit score,id
provide me with my credit score,id
my credit score is,id
i need my credit score,id
find my credit score for me,id
what is my credit score,id
please get my credit score,id
can you find my credit score,id
i'd like to know what my credit rating is,id
please tell me my credit rating,id
what in the world is my credit rating,id
my credit score is what,id
tell me my credit score please,id
can you tell me my credit score,id
find my credit score and tell it to me,id
get my credit score,id
what is my exact credit score,id
how good is my credit score,id
what's my credit score rating,id
what kind of credit score do i have,id
"if i want my credit score, how do i find it",id
how do i find information about my credit score,id
what is the process of finding my credit score,id
how do i get my credit score,id
how do i locate my current credit score,id
where is my credit score,id
how do i see my credit score,id
how exactly do i find my credit score,id
how do i locate my credit score,id
how do i find out what my credit score is,id
i really wanna know my credit score,id
i wish to know my credit rating,id
let me understand my credit rating,id
i wanna know my credit rating now,id
i gotta know my credit score,id
tell me my credit rating,id
i would love to know my credit score,id
i wish to know my credit score,id
i wanna know my credit score,id
tell me what my credit rating is,id
can you provide me my credit score,id
i'd like the number for my credit score,id
tell me my credit score,id
verify with me my credit score,id
can you help me find my credit score,id
would you tell me my credit score,id
how do i find my credit score,id
will you tell me my credit score,id
do you know my credit score,id
how to see my credit score,id
can i see my credit score,id
hows my credit score,id
websites that share credit ratings,id
what's my credit rating,id
how do i find out my credit rating,id
how to locate my credit score,id
where is my credit score located,id
where can i find my credit score,id
find my credit score,id
tell me the steps to getting my credit score,id
help me locate my credit score,id
lets look up my credit score,id
i would like to look up my credit score please,id
i want to find out what my credit score is,id
help me find my credit score,id
what is my fica score,id
can you reveal my credit score,id
how is my credit score rated,id
any idea what my credit score is,id
show me my credit score please,id
let me know what my credit score is,id
is my credit score high,id
i am trying to find my credit score,id
show me my credit score,id
how does my credit score look,id
is my credit report low,id
whats my credit rating,id
what is my current credit score,id
where can i check my credit score,id
where can i see my credit score,id
how can i find out my credit score,id
inform me of my current credit rating,id
please notify me of my credit rating,id
i would like to be told about my credit rating,id
can you tell me about my credit rating,id
tell me my current credit rating,id
what is the number of my credit score,id
what's my credit score,id
let me know my credit score,id
how is my credit score,id
how can i apply for a discover card,id
can i apply for a discover card,id
how do applications for discover cards work,id
is this how i apply for a discover card,id
what does it take to get a new card,id
how do i sign up for a new credit card,id
can i complete an application for a new credit card,id
is it possible to get a new credit card,id
please show me how to apply for a visa card,id
i need to apply for a visa card,id
i need to know how to apply for a visa card,id
tell me how to apply for a visa card,id
what is the process to apply for a visa card,id
show me how to apply for a visa card,id
can you let me know the info on how to apply for a visa card,id
"visa card, i want to apply",id
show me the application for a visa card,id
how do i get a new credit card sent to me,id
can you send me a new credit card please mine is getting old and unusable,id
can you apply for idaho independent card for me,id
please apply cc visa card for me,id
apply for a kbc card for me,id
i want to apply for a alphabank card,id
i would like to apply for a bank of america travel rewards credit card,id
i need to apply for a new credit card,id
i wanna apply for a new credit card,id
i got to apply for a new credit card,id
i wanna apply for a bank of america travel rewards credit card,id
i need to apply for a bank of america travel rewards credit card,id
i desire to apply for a bank of america travel rewards credit card,id
apply for a bank of america travel rewards credit card,id
i must apply for a new credit card,id
i gotta apply for a new credit card,id
i would like to apply for a master card,id
i would like to apply for a green card,id
i would like to apply for a visa card,id
i would like to apply for a credit card,id
i would like to apply for a discover card,id
what's the procedure to apply for a new credit card,id
how can i get a new credit card,id
direct me to the application for a new credit card,id
apply for an american express card,id
can you tell me if i might be able to apply for a new credit card,id
might i be able to apply for a new credit card,id
can you help me apply for a visa card,id
i want to apply for a discover card,id
am i eligible for a new credit card application,id
is it possible to apply for a new credit card,id
i think i'd like to apply for an amex,id
am i able to apply for a new credit card,id
application for a mastercard,id
can i get a new card,id
i would like to apply for a new card,id
can i maybe apply for a new card,id
can i please get a new card,id
can i get a brand new card please,id
list the steps for applying for an american express card,id
what's the process for getting an american express card,id
what do i need to do to get an american express card,id
help me get an american express card,id
help me apply for an american express card,id
i am hoping to apply for an amex card,id
i want to find a new credit card to sign up for,id
how do i apply for a barclay's card,id
walk me through the process of applying for an american express card,id
i need help figuring out a new credit card to get,id
i am interested in applying for a visa card,id
i am interested in acquiring a new credit card,id
i want to apply for a mastercard,id
walk me through applying for a visa card,id
i want to submit an application for a barclay's card,id
can you help me sign up for a new credit card,id
i need to know how to apply for a mastercard,id
i intend to apply for an american express card,id
tell me how to apply for an american express card,id
i feel like it is time for me to sign up for a new credit card,id
how to apply for platinum card,id
"i would like to apply for a air canada card visa, can you help me",id
please help me apply for a silver card,id
tell me the process of applying for a apollo card,id
can you tell me how to apply for a western card,id
how can i apply for a visa card,id
"how can i apply for a visa card, please",id
"how do i apply for a visa card, please",id
"how can i apply for a mastercard, please",id
what if you need to obtain a new credit card,id
what if you want to obtain a new credit card,id
what if you want a new credit card,id
what if you need to get a new credit card,id
show me how i can get a new credit card,id
can you help me find out how to get a new credit card,id
how do i get a new credit card,id
can you help me get a new credit card,id
what is the process i need to follow to get a new credit card,id
may i apply for a new credit card,id
how do i go about applying for a new credit card,id
i would like to apply for a new credit card,id
could you please let me apply for a new credit card,id
is it possible to apply for a visa card,id
hey what do i do to apply for a visa card,id
locate lost luggage from flight america airlines in o'hare,id
on flight america airlines in o'hare lost luggage,id
in o'hare lost luggage on flight america airlines,id
lost luggage on flight america airlines in o'hare,id
while on flight america airlines i lost luggage in o'hare,id
it seems my luggage was lost,id
my luggage was lost so what do i do,id
my luggage is missing i was on spirit flight ab123 from chicago,id
i think my luggage has been lost,id
i think my luggage was misplaced or has been lost,id
i lost my luggage coming from new york city on american flight ab123,id
what step do i take if my bag got lost on the flight,id
i lost my luggage coming from chicago on delta flight ab123,id
what is the next step if my luggage was lost,id
"i lost my luggage, what now",id
i lost my luggage,id
my luggage is missing i was on frontier flight ab123 from seattle,id
my luggage was lost on the flight,id
my luggage is lost i was on delta flight ab123 from detroit,id
can you please help me find my lost luggage,id
my luggage has not arrived and i would like help locating it,id
my luggage has not arrived and i would like assistance locating it,id
can you please help me locate my luggage,id
my luggage is lost and i would like help trying to locate it,id
im at lax and my bags aren't,id
my bags did not arrive here at smf,id
i got to vegas airport but my bags didn't,id
"where are my bags, not here at the airport",id
my bags didn't make it to the new orleans airport,id
i'm not able to find my luggage and i was on southwest airlines flight ab123 out of houston,id
my luggage is missing i was on american airlines flight ab123 out of dallas,id
i just traveled on american airlines flight ab123 out of dallas i can't find my luggage,id
i flew on southwest airlines flight ab123 out of dallas and i can not find my luggage,id
i was on american airlines flight ab123 out of houston and i can't find my luggage,id
what if i lost my luggage,id
"help, i lost my luggage",id
what to do if luggage lost,id
how to find lost luggage,id
what do you do if your luggage is missing,id
what is the best way to deal with my lost luggage,id
i'm in baggage claim at the airport and my luggage didn't make it,id
who can i turn to if i lost my luggage,id
i'm waiting for my luggage in the airport now but it's been a while and it's still not arrived,id
where do i begin the process of reporting my luggage lost,id
"my luggage is nowhere in sight, it might be lost",id
"if i lost my luggage, where can i get help",id
i believe it looks like my luggage has disappeared,id
"my luggage is missing, i think",id
it appears that my luggage has vanished,id
can you tell me what to do as i am in the airport and have been for some time and there is still no sign of my suitcase,id
there's a strong possibility that my luggage has gone missing,id
how do i handle the situation if i lost my luggage,id
is there someone i can talk to since i am in the airport waiting for my luggage which never came,id
what should i do if i'm waiting at the airport and my luggage is not here,id
i think my luggage got lost,id
i believe that my luggage was lost,id
it looks as though my luggage has been lost,id
i don't know where my luggage is,id
i'm having trouble finding my luggage i was on delta flight ab123 out of new york,id
i was on delta flight ab123 out of new york and i can't find my luggage,id
i miss placed my luggage i was on delta flight ab123 out of new york,id
my luggage is lost i was on delta flight ab123 out of new york,id
i was on delta flight ab123 out of new york and haven't been able to locate my luggage,id
my luggage appears to be missing,id
i need to find my luggage,id
do you know where my luggage is,id
i can't find my luggage anywhere and there's no more on the conveyor,id
can you see if you can track where my luggage is,id
"what the heck, where's my luggage!",id
i can't find any of my luggage!,id
do you know where the luggage for people on panam flight ab123 out of tuscon is,id
who do i report lost luggage to,id
i'm here at dia but my luggage isn't!,id
find me the number for jet blue's customer service so i can yell at someone about my missing luggage,id
can you help me locate lost luggage,id
how do i find lost luggage,id
i arrived on delta flight ab123 from juno but my luggage doesn't appear to have come with me,id
what's the procedure to deal with lost luggage,id
i just flew in on american airlines flight ab123 from chicago and can't find my luggage,id
can you check where my luggage is off jetblue flight ab123 out of buffalo,id
where's my luggage for american airlines flight ab123 out of denver,id
how do i go about resolving my luggage that didn't arrive,id
can you find out what happened to my luggage,id
do you know whom i should contact since my luggage did not arrive,id
"my luggage did not arrive, please investigate",id
"where is my luggage, i was on delta flight ab123 out of dc",id
"i need my luggage found, i was on delta flight ab123 out of san francisco",id
"i can't locate my luggage, i was on jetblue flight ab123 out of detroit",id
"my luggage is lost, i was on american airlines ab123 out of los angeles",id
"i need assistance with my lost luggage, i was on american airlines ab123 out of talahasse",id
help me find my luggage,id
tell me where my luggage is,id
how do i find lost luggage in an airport,id
i need to figure out what to do about lost luggage,id
"my luggage is lost,what do i do now",id
who do i go to to find lost luggage,id
who do i complain to about my luggage not arriving at the airport,id
can you help me find my luggage it was lost on delta flight abc123 from houston,id
i need my luggage that your airline lost it was flight abc123 and now itüs suddenly missing,id
my luggage was on delta flight abc123 out of houston and now i canüt find it,id
i didn't hear you please repeat,id
please repeat,id
i want you to repeat that,id
one more time please,id
i need you to repeat that,id
i need you to please repeat that,id
one more time for me please,id
i would like that repeated,id
just another time please,id
say it again please,id
i must have you repeat that,id
say it again,id
i need that repeated,id
just one more time,id
i want to have that repeated for me,id
i want that repeated,id
ai what was the question,id
ai i didn't hear you,id
ai please repeat,id
ai could you say that again,id
excuse me,id
i did not hear you,id
"i didn't get that, please repeat",id
please repeat yourself,id
"i didn't catch that, please repeat",id
can you say that over,id
restate the last thing you told me,id
repeat what you just said,id
i didn't catch that say it again,id
what was that last thing you said,id
repeat what you just told me,id
please say that one more time,id
hold on what was that you just said,id
repeat that last response,id
"i need you to repeat that, please",id
"i did not quite hear you, can you say it again",id
can you please repeat that response,id
"i did not hear you, please repeat",id
say it one more time please,id
"i didn't hear, please say it again",id
im sorry can you repeat yourself,id
"i missed what you said, can you say it again",id
"i couldn't hear you, can you repeat it",id
i didn't hear say it again please,id
can you repeat yourself,id
i would like you to repeat yourself,id
"i missed that last one, please repeat",id
what was that,id
i didn't hear you can you repeat that,id
please repeat that phrase,id
"i missed what you said, please say it again",id
can you tell me what you just said,id
"will you repeat that, please",id
"could you repeat that, please",id
"would you repeat that, please",id
would you repeat that,id
would you please ask the question again,id
i am needing for you to say that again,id
i need for you to ask the question again,id
could you ask the question again,id
i am going to need you to say that again,id
"would you say that again, please",id
repeat the question,id
i didn't hear what you said,id
repeat that please,id
i didn't hear you,id
"i didnt hear what you just said, can you say it again",id
may you repeat what you said again,id
"i didn't hear what you just said, can you repeat it",id
"i didn't understand what you just said, can you repeat it",id
"i didnt understand what you just said, can you say it again",id
can you say what you just said again,id
could you repeat what you just said again,id
would you repeat what you just said,id
will you please repeat what you said,id
what did you just mention,id
i need that said again,id
i need to know again,id
please say it again,id
tell me once more,id
repeat that again,id
replay what you just said,id
"i missed that, say it again",id
could you say that again,id
repeat your last message,id
say it one more time,id
i did not understand say it again,id
can you please sat it one more time,id
"i did not catch that, repeat what you just said",id
"sorry, i didn't hear you, can you say that gain",id
"i didn't hear you, can you repeat that louder",id
i didn't catch that so please repeat it,id
please run that by me again,id
i missed that say it again,id
can you say again,id
please repeat what you just said,id
can i get you to say that once more,id
will you repeat what you just said,id
please repeat over what you said,id
come again with that,id
what kind of mileage do i get out of gas,id
what's the fuel economy of my car,id
how many miles per gallon do i get in my car,id
tell me my car's fuel economy,id
what kind of gas mileage do i get,id
what gas mileage does my car get,id
"in my car, what's the fuel economy",id
how many miles per gallon do i get,id
what's my car's gas mileage,id
how many miles per gallon does my car get,id
look up the gas mileage for my vehicle,id
can you tell me the miles per gallon rate of my car,id
tell me my car's gas mileage please,id
what is the gas mileage for the car that i drive,id
how many miles can i drive on 1 gallon of gas,id
how many miles does my car get per gallon,id
whatüs my gas mileage,id
retrieve my current mpg on my car,id
tell me the gas mileage on my car,id
tell me my miles per gallon on my car,id
how much mpg does this car get in the city,id
what kind of mpg does this car get in the city,id
how many miles per gallon does it get in the city,id
how many miles per gallon does it get on the highway,id
can you give me the car's mpg for the city,id
what's the mpg for the car when it's on the highway,id
what are the estimates for the car's highway mpg,id
how much highway mpg does it get,id
"for city driving, what's the car's mpg",id
how far can the car get per gallon on the highway,id
tell me the mpg of this car,id
can you tell me the mpg of this car,id
how many mpg does this car get,id
mpg of this car,id
what is the mpg of this car,id
what is the mpg,id
how much is this mpg,id
what's my current mpg,id
how much mpg do i have,id
what's my car's miles per gallon,id
calculate car mpg,id
what's my gas mileage like,id
is the fuel economy of this car good or bad,id
average mpg,id
what mpg does my car get,id
what is my average mpg in this car,id
tell me about this cars fuel economy,id
do you know the fuel economy of this car,id
what's the mpg of this car,id
what's the miles per gallon on this car,id
how does this do on gas mileage,id
whats the cars fuel mileage like,id
how does this car do on its fuel,id
what is the city mpg for this car,id
how many miles per gallon does this car get in the city,id
what is the city fuel efficiency for this car,id
what's the fuel economy for this car downtown,id
how many mpg does this rig get when i'm in the city,id
how much gas does this use in the city,id
do you know what this car's mpg is,id
how is this car rated for fuel economy,id
what's this car guzzle in gas when driving in town,id
what mpg does this car get on the expressway,id
what's the non-city mpg for this car,id
what'll this car do for gas mileage on the open road,id
how good is the fuel usage for this vehicle,id
what's this car get for highway driving,id
how much gas does this car use in the city,id
do you know the mpg for this vehicle,id
how's the mpg for this on the freeway,id
how many mpgs does this car get on the highway,id
how's the fuel efficiency for city driving for this car,id
what's this car do for fuel economy,id
what is the amount of miles per gallon this car gets on the highway,id
how many mpg does this get on the highway,id
what is the highway mpg on this car,id
how many miles per gallon does this car get on the highway,id
does this car get good mpg on the highway,id
what is the cars mpg on the highway,id
what is the mpg like for this car while driving in the city,id
what is the mpg on this car,id
how does this cars mpg do on the highway,id
whats the cars mpg,id
please tell me what the mpg is for this car,id
how does this car do with mpg in the city,id
tell me what this cars highway mpg is,id
what is the mpg for this car in city,id
does this car get good mpg in the city,id
what mpg does this car get in city,id
what mpg does this car get on the highway,id
how much mpg does this car get on the highway,id
please look up the this cars mpg,id
my mpg is how much,id
how many miles per gallon am i getting,id
how much is my mpg,id
what's the mileage on my car,id
how expensive is it to fuel this car,id
how many miles will a gallon of gas take this car,id
how many mpg does this car have,id
how far can i go on one tank of gas,id
when should i change my car oil,id
do i need to change my oil,id
how often do you have to change your oil,id
how do i know when i have to change my oil,id
when do i need to change my oil,id
when am i due for an oil change,id
how long before i neet to get my oil changed,id
at how many miles am i required to get my oil changed,id
when should my oil get changed,id
when do i need you change my oil,id
when is my oil due to be changed,id
when should my oil be changed,id
how long until i need to change my oil,id
how many miles can i drive before changing my oil,id
"at which mileage, should i get my oil changed",id
when should i change my oil again,id
at what point should the oil be changed again,id
how much longer until i need an oil change,id
when do i need to change the oil again,id
when do i need to change my oil again,id
when should i change my oil next,id
at what point will i need another oil change,id
when will i need another oil change,id
when will i need to change my oil again,id
when do i need to get an oil change,id
when must i change oil,id
when do i need my oil changed,id
when should oil be changed in my car,id
when is an oil change needed by me,id
i really must know when should i get my oil changed next,id
when must i change the oil in my car,id
i gotta know when should i get my oil changed next,id
when do i have to change oil,id
when should i change the oil in my car,id
when do i need an oil change,id
when does my oil need some changing,id
i wanna know when should i get my oil changed next,id
i must know when should i get my oil changed next,id
i need to know when should i get my oil changed next,id
how often should i change my oil,id
oil changes are typical done how often,id
when's my next oil change due,id
oil changes are typical done when,id
when is my oil change expected,id
is there a way to tell when i need my oil changed,id
when is my next oil change,id
tell me how i know when i need an oil change,id
how do i know when i need my next oil change,id
when do i need my next oil change,id
is it time for an oil change,id
should i get an oil change,id
when is the best time for my next oil change,id
what date should i next change my oil,id
"the next time i change my oil, when should it be",id
what duration of time should i wait before i change my oil,id
after how long should i change my oil,id
when will my car need an oil change,id
can you make a note for my next oil change,id
how long before i need an oil change,id
when do you think i should change my oil,id
when is my next oil change suggested,id
what is the due date for my next oil change,id
in how many miles do i need to schedule my oil change,id
when is my car due for an oil change and lube,id
how many miles can i drive before needing the next oil change,id
"it's been 3 years since i changed my oil, how long until i have to deal with it",id
can you check when i'm next due for an oil change,id
"my oil seems pretty black, does that mean i should change it",id
when's the next time i should go for an oil change,id
"my car's been throwing cels that i think are oil related, so i'm wondering if it's time to take it in or not",id
my next oil change is when,id
at what time should i get my oil changed next,id
how much longer until i need to get my oil changed,id
what is the next date that i should change my oil at,id
when would you recommend i get my oil changed,id
when would it be required for me to get my oil changed,id
when is my next oil change due,id
what is the average time to go between oil changes,id
do i need to have my oil changed after 3000 miles,id
how soon should i have my oil changed,id
how often should i have my oil changed,id
what is the recommended time frame to change my oil,id
how many miles can i drive before i need to change my oil,id
how long can i go before changing my oil,id
how long is an oil change good for,id
i need to know when my oil should be changed,id
when do people typically change their oil,id
how often should the oil get changed,id
what is the time frame for changing oil,id
about how long before i need another oil change,id
how long does oil last in a car,id
do you change the oil in your car more than once a year,id
when is my car due for an oil change,id
when do cars need their oil changed,id
when do i change my oil,id
how long can you go between oil changes,id
how often should you get an oil change,id
when can i get oil changed,id
when should i change this oil,id
when to change my oil,id
yep,id
that is affirmative,id
what you just said is true,id
that is not false,id
that is a fact,id
i agree with the truth of what you just said,id
i believe what you just said is true,id
that would be great,id
that would be awesome,id
that is totally true,id
oh yes,id
yes that is right,id
that is a yes,id
that seems true,id
positive,id
TRUE,id
very true,id
that will be true,id
that appears true,id
that is true,id
it is true,id
that is right,id
that statement was correct,id
i think that's true,id
that is accurate,id
"yes, that is it",id
correct,id
the answer is yes,id
all right,id
it's indeed true,id
that's a yes from me,id
yes you are correct,id
that's a definite yes,id
yes that's it,id
i vote yes,id
that is correct,id
"yes, that is true",id
"yep, that's right",id
yeah that's what i want,id
you got it,id
"yeah that's right, so true",id
true is my response,id
"yes, that's affirmative",id
"yes, you got it",id
absolutely!,id
do that,id
absolutely correct,id
confirm,id
"yes, i'd really like that alot",id
"agreed, that's valid",id
"affirmative, go ahead",id
yes that's correct,id
"yeah, that's how it is",id
"yeah, that's right",id
of course,id
that's the truth,id
exactly right,id
"yes, that's accurate",id
"yes, that is accurate",id
"yes, that's what i want",id
"yes, that is a fact",id
"yes, that is correct",id
"yes, that's confirmed",id
indeed,id
yes,id
uh-huh,id
"correct, that's true",id
"yes, that's correct",id
yeah,id
yeap,id
ok,id
sure thing,id
yes you are right,id
yes you are,id
yes i do like that,id
yes that is correct,id
yes i am,id
i think it's true,id
that would be yes,id
that would be true,id
i believe that's true,id
uh huh,id
"yep, that's true",id
"yes, that is actually true",id
"yes, that's it",id
"yes, that is right",id
"correct, it is affirmative",id
the answer to that is a resounding yes,id
i can confirm it is affirmative,id
my response to that is yes,id
i have to say affirmative on that one,id
i would have to say yes as my answer,id
the answer to that is affirmative,id
"that is true, yes",id
it is definitely affirmative,id
is is very much true,id
it is a true,id
its a for sure true,id
yes sir,id
it's true,id
can you give me some suggestions to go site seeing when i get there,id
can you get me any recommendations for the place i'm traveling to,id
please suggest some fun tourist activities in tokyo,id
i need help with some fun tourist things to do in tokyo,id
could you tell me what fun tourist things i could do in tokyo,id
what should i do for fun in tokyo,id
what do tourists do in tokyo,id
what sites are there to see when in evans,id
what can i do in evans,id
name some things i should do while in evans,id
"if i go to evans, what should i do",id
what is there to do in evans,id
what can i do in new orleans for fun,id
what do you recommend to do in vegas,id
is there anything fun to do in berlin,id
find something fun for me to do in dallas,id
what's fun to do in thailand,id
where should i book my next trip,id
what are some hot travel destinations,id
what's a good place to travel to,id
where should i travel to next,id
what's the best place to travel to this time of year,id
"when visiting chicago, what things can i do there",id
what are some good restaurants in chicago,id
what are some activities to do in chicago,id
"when travelling in chicago, what kinds of attractions should i see",id
what kind of entertainment is available in chicago,id
show me some things to do in gatlinburg,id
what are the main attractions in gatlinburg,id
name the five star attractions in gatlinburg,id
what are some of the attractions in gatlinburg,id
what are the most popular attractions in gatlinburg,id
where should i spend my time off,id
give me some awesome travel destinations,id
what's the best place to just get away from it all,id
what are some tourist sites to see in ann arbor,id
name some tourist things to do in chicago,id
"in austin, what are some tourist things to do",id
name some tourist things to do in seattle,id
"what are some fun, tourist sites to see in nyc",id
what experiences does kentucky offer,id
what's something interesting to do kentucky,id
what things are there to do in kentucky,id
what could i do for fun in kentucky,id
what does kentucky have to offer for things to do,id
what are the big tourist sites in sweden,id
what are some fun things to do in sweden,id
can you tell me about the best tourist attractions in sweden,id
what are some of sweden's best sights,id
what can i do in nashville,id
help me find things to do in nashville,id
can i do a lot in nashville,id
i need ideas for things to do in nashville,id
do you know of any activities in nashville,id
what are some touristy things to do in boston,id
what kinds of fun things are there in boston for tourists,id
are there any exciting tourist things to do in boston,id
what kinds of fun touristy things are there to do in boston,id
are there any fun tourist things to do in boston,id
what are some fun things i can partake in in atlanta,id
tell me things i can do in chicago,id
provide me with ideas of things we can do in charlotte,id
give me a list of things to do in orlando,id
where should i travel if i want to visit some history museums,id
i'd like some suggestions on where to go on my vacation this year,id
"are there any interesting things to do in atlanta, georgia",id
"is there anything fun to do in manassas, virginia",id
i want to travel this year but i need some suggestions,id
where should i travel if i want to go to a nice beach,id
give me some ideas on what i can do in seattle for fun,id
"what do you suggest for entertainment in tampa, florida",id
"what are some fun things to do in butte, montana",id
"in portland, what things are there to do",id
what things can i do in portland,id
what are some things i can do in portland,id
what are some things to do in portland,id
what things are there to do in portland,id
what is there to do besides drink in germany,id
what festivals are there to see in paris,id
what fun is there to do in england,id
where is the best winery in the south of france,id
what should i do in france,id
where do you suggest i plan my next vacation,id
what are your best travel suggestions,id
what are some suggestions for places to travel,id
what do people in sioux falls do for fun,id
what's there to do in seattle,id
are there any interesting activities to do in austin,id
where's a good place to go if i want to see mountains,id
what's a nice place to visit a beautiful beach,id
what should i do in bangor,id
what do tourists do for fun in seattle,id
are there any fun tourist activities in australia,id
what's a good use of my time in toronto,id
what can a tourist in denver do,id
what sort of things do people do in new york,id
tell me some things to see in tampa,id
is there anything neat to do in boston,id
what are some interesting things to do in dc,id
what's the funnest thing for a tourist to do in iceland,id
what do my health benefits consist of,id
what health benefits are available to me,id
what health benefits can i use,id
what are the health benefits i have,id
what health benefits do i have,id
i need to know my health benefits,id
what is my health plan,id
what's the name of my medical coverage,id
i need to know more about my health plan,id
are my health benefits good,id
tell me what my health plan is called,id
do i have many health benefits,id
tell me about my health insurance,id
what is the name of my health insurance,id
list all of my health benefits,id
my insurance gives me what benefits,id
what benefits are available with my insurance,id
what benefits does my insurance provide,id
what benefits are provided by my insurance,id
my insurance benefits are what,id
what benefits do i get from insurance,id
give me information on my health plan,id
i'd like to know about my health plan,id
can you tell me my health plan,id
insurance benefits,id
what benefits are associated with my insurance,id
can you tell me my insurance benefits,id
what benefits does my insurance have,id
i'm curious what health plan i'm on,id
i'm wondering what health plan i'm on,id
can you let me know what health plan i'm on,id
do you know the health plan i'm on,id
is it possible for you to let me know what health plan i'm on,id
tell me about my insurance benefits,id
list my insurance benefits,id
list insurance benefits,id
insurance benefit information,id
insurance benefit details,id
give me the name of the insurance plan that i enrolled in,id
tell me the name of my insurance plan,id
what is the name of my insurance plan,id
what is the name of the insurance plan that i'm enrolled in,id
please provide the name of the insurance plan that i'm enrolled in,id
what's the healthcare plan i'm on,id
what's the deal with my health care,id
what's my current health care plan,id
any word on my healthcare plan,id
what healthcare plan do you have me on,id
i need you to tell me what benefits are included in my insurance,id
please find the benefits provided by my insurance,id
what benefits do i have with my insurance,id
can you tell me what is included in my health benefits,id
please tell my what insurance plan i registered for,id
"i need to know what my health benefits cover, please",id
"i would like to hear a list of my insurance benefits, please",id
what is the insurance plan that i'm signed up for,id
please tell me what's provided in my health benefits,id
which insurance plan do i currently have,id
can you tell me the name of the insurance plan i'm a member of,id
remind me of which insurance plan i'm currently enrolled in,id
what benefits does my health coverage give me,id
i would like to know all of the covered benefits that are given by my health care plan,id
can you tell me what benefits i receive with my insurance,id
is there an insurance plan for my health,id
can i see my health benefits,id
what are the benefits i get for my health,id
what is the aid i get from these health benefits,id
can i obtain health benefits,id
give me info on my health plan,id
what was my health plan again,id
what health plan do i have,id
tell me my health plan,id
what's my health plan,id
"which insurance plan am i enrolled in, please",id
"what type of insurance plan am i enrolled in, please",id
what kind of insurance plan am i enrolled in,id
"what kind of insurance plan am i enrolled in, please",id
may i know my insurance benefits,id
where is the list of my insurance benefits,id
what's my insurance benefits like,id
how do i know my insurance benefits,id
what insurance benefits am i getting,id
how would you define my health benefits,id
will you summarize my health benefits,id
define my health benefits,id
how would you describe my health benefits,id
what is the definition of my health benefits,id
can you explain my benefits,id
whats included with my insurance,id
what insurance benefits do i have,id
what do my benefits look like,id
what benefits are included in my package,id
what are my insurance assets,id
what are my insurance advantages,id
what are my insurance perks,id
what are my insurance rewards,id
what are my insurance amenities,id
do you know what my health benefits are,id
please look up the name of my insurance plan,id
can you tell me the name of my insurance plan,id
i need to add the chore of vacuuming to my task list,id
put wash the counters down on my list of pending tasks,id
take doing the dishes off my todo list,id
blank out my todo list,id
erase all items on my todo list,id
delete everything on my todo list,id
add clean bathroom to my to do list,id
go ahead and take cleaning the bathroom off my todo list,id
you can remove vacuuming off the todo list,id
make my todo list blank,id
please take shoveling the car off my todo list,id
i'd like you to remove throw away dvds off my todo list,id
put clean stovetop on my list of reminders,id
nuke all items on my todo list,id
will you put change the light bulbs on my list of things to do,id
delete everything from the task list,id
hurry up and just erase everything from the todo list,id
can you kindly clear my agenda list,id
hey just take off everything from my todo list,id
i don't want to do anything today so just clear the todo list,id
please include feeding the fish on my to do list,id
please remove laundry from my list of chores,id
please clear out my whole to do list,id
i want you to clear out my to do list,id
i want you to add cleaning the toilet to my to do list,id
make sure my to do list is completely clear please,id
please include laundry on my to do list,id
can you please add take out recycling on my list of chores to complete,id
please get rid off everything on my to do list,id
please take feeding the fish off of my list of tasks to complete,id
i need to add dusting the bookshelf to my to do list,id
please put washing the dishes on my list of tasks to accomplish,id
please be sure to put folding laundry on my to do list for me,id
please put watering the plants on my to do list,id
